"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.023460200E-2,7.506561279E-1,2.954162598E0,9.171417236E0
3.231956300E-2,7.267150879E-1,2.951766968E0,9.130706787E0
4.440452300E-2,7.123413086E-1,2.961349487E0,9.147476196E0
5.648948400E-2,7.075500488E-1,2.982894897E0,9.319854736E0
6.857444500E-2,7.195281982E-1,2.973312378E0,9.348587036E0
8.065940600E-2,7.530517578E-1,2.939804077E0,9.142684937E0
9.274436700E-2,7.793731689E-1,2.935012817E0,9.022964478E0
1.048598460E-1,7.722015381E-1,2.942199707E0,9.066070557E0
1.169448070E-1,7.123413086E-1,2.944595337E0,9.090011597E0
1.290297680E-1,6.812133789E-1,2.975708008E0,9.106765747E0
1.411147290E-1,6.692504883E-1,2.999649048E0,9.171417236E0
1.531996890E-1,6.788177490E-1,3.006835938E0,9.262390137E0
1.652846500E-1,7.051544189E-1,3.030776978E0,9.324645996E0
1.773696110E-1,7.267150879E-1,3.028381348E0,9.303100586E0
1.894545720E-1,7.458648682E-1,3.025985718E0,9.236053467E0
2.015395330E-1,7.482604980E-1,3.009231567E0,9.200149536E0
2.136550120E-1,7.506561279E-1,3.006835938E0,9.200149536E0
2.257399730E-1,7.195281982E-1,2.980499268E0,9.173812866E0
2.378249340E-1,6.955871582E-1,2.970932007E0,9.142684937E0
2.499098950E-1,6.860046387E-1,2.987686157E0,9.078033447E0
2.619948550E-1,6.716461182E-1,2.999649048E0,9.166625977E0
2.740798160E-1,6.524810791E-1,3.006835938E0,9.195358276E0
2.861647770E-1,6.668548584E-1,2.999649048E0,9.188171387E0
2.982802560E-1,6.955871582E-1,3.023590088E0,9.188171387E0
3.103652170E-1,7.338867188E-1,3.023590088E0,9.188171387E0
3.224501780E-1,7.386779785E-1,3.042755127E0,9.180984497E0
3.345351390E-1,7.314910889E-1,3.057113647E0,9.157043457E0
3.466201000E-1,7.219238281E-1,3.066696167E0,9.140289307E0
3.587050610E-1,7.386779785E-1,3.081054688E0,9.137893677E0
3.707900220E-1,7.362823486E-1,3.061904907E0,9.104370117E0
3.829055000E-1,7.219238281E-1,3.054718018E0,9.061279297E0
3.949904610E-1,6.979827881E-1,3.047546387E0,9.080429077E0
4.070754220E-1,7.099456787E-1,3.059509277E0,9.166625977E0
4.191603830E-1,7.338867188E-1,3.093032837E0,9.245635986E0
4.312453440E-1,7.243194580E-1,3.114578247E0,9.269577026E0
4.433303050E-1,6.907958984E-1,3.107391357E0,9.240844727E0
4.554152660E-1,6.596679688E-1,3.114578247E0,9.178588867E0
4.675307440E-1,6.596679688E-1,3.121765137E0,9.113952637E0
4.796157050E-1,6.884002686E-1,3.121765137E0,9.135498047E0
4.917006660E-1,6.884002686E-1,3.088241577E0,9.128311157E0
5.037856270E-1,7.314910889E-1,3.047546387E0,8.960723877E0
5.158705880E-1,8.464202881E-1,3.085845947E0,8.881713867E0
5.279555490E-1,7.817687988E-1,3.119369507E0,9.238449097E0
5.400405100E-1,6.141815186E-1,3.097824097E0,9.492233276E0
5.521559880E-1,5.591125488E-1,3.049926758E0,9.255203247E0
5.642409490E-1,6.884002686E-1,3.025985718E0,8.943969727E0
5.763259100E-1,8.081054688E-1,3.018814087E0,8.836227417E0
5.884108710E-1,7.937469482E-1,3.047546387E0,8.915237427E0
6.004958320E-1,6.812133789E-1,3.097824097E0,9.015792847E0
6.125807930E-1,6.213684082E-1,3.155273438E0,9.101974487E0
6.246657540E-1,6.477050781E-1,3.162460327E0,9.288726807E0
6.367812320E-1,7.123413086E-1,3.164855957E0,9.482666016E0
6.488661930E-1,7.698059082E-1,3.131332397E0,9.535324097E0
6.609511540E-1,7.865600586E-1,3.109786987E0,9.327041626E0
6.730361150E-1,7.769927979E-1,3.085845947E0,9.042129517E0
6.851210760E-1,7.458648682E-1,3.071487427E0,8.920028687E0
6.972060370E-1,7.147369385E-1,3.083450317E0,9.020584106E0
7.092909980E-1,6.884002686E-1,3.088241577E0,9.192962646E0
7.214064770E-1,6.884002686E-1,3.085845947E0,9.281539917E0
7.334914380E-1,6.788177490E-1,3.100204468E0,9.269577026E0
7.455763980E-1,7.051544189E-1,3.114578247E0,9.123535156E0
7.576613590E-1,7.219238281E-1,3.121765137E0,9.142684937E0
7.697463200E-1,7.338867188E-1,3.119369507E0,9.128311157E0
7.818312810E-1,7.362823486E-1,3.133728027E0,9.104370117E0
7.939162420E-1,7.267150879E-1,3.126541138E0,9.090011597E0
8.060317210E-1,7.099456787E-1,3.136123657E0,9.123535156E0
8.181166820E-1,7.075500488E-1,3.157669067E0,9.276763916E0
8.302016430E-1,7.003784180E-1,3.145706177E0,9.271972656E0
8.422866040E-1,7.338867188E-1,3.124160767E0,9.082824707E0
8.543715640E-1,7.745971680E-1,3.109786987E0,8.946350098E0
8.664565250E-1,7.386779785E-1,3.114578247E0,8.958328247E0
8.785414860E-1,6.836090088E-1,3.107391357E0,8.979873657E0
8.906569650E-1,6.524810791E-1,3.124160767E0,9.003814697E0
9.027419260E-1,6.429138184E-1,3.150497437E0,9.104370117E0
9.148268870E-1,6.764373779E-1,3.172042847E0,9.236053467E0
9.269118480E-1,6.860046387E-1,3.167251587E0,9.279144287E0
9.389968090E-1,7.243194580E-1,3.172042847E0,9.243240356E0
9.510817700E-1,7.506561279E-1,3.172042847E0,9.164230347E0
9.631667300E-1,7.602233887E-1,3.150497437E0,9.121139526E0
9.752822090E-1,7.386779785E-1,3.140914917E0,9.142684937E0
9.873671700E-1,6.979827881E-1,3.119369507E0,9.161834717E0
9.994521310E-1,6.692504883E-1,3.109786987E0,9.113952637E0
1.011537092E0,6.740417480E-1,3.107391357E0,9.087615967E0
1.023622053E0,6.644592285E-1,3.124160767E0,9.133102417E0
1.035707014E0,6.668548584E-1,3.138519287E0,9.173812866E0
1.047822492E0,6.788177490E-1,3.143310547E0,9.147476196E0
1.059907453E0,6.979827881E-1,3.136123657E0,9.101974487E0
1.071992414E0,7.147369385E-1,3.133728027E0,9.092407227E0
1.084077375E0,7.482604980E-1,3.150497437E0,9.116348267E0
1.096162336E0,7.410736084E-1,3.162460327E0,9.128311157E0
1.108247297E0,7.290954590E-1,3.172042847E0,9.109161377E0
1.120332258E0,7.243194580E-1,3.169647217E0,9.118743896E0
1.132447736E0,7.362823486E-1,3.176834106E0,9.137893677E0
1.144532697E0,7.051544189E-1,3.174438477E0,9.135498047E0
1.156617658E0,6.764373779E-1,3.172042847E0,9.087615967E0
1.168702619E0,6.524810791E-1,3.152877808E0,9.073257446E0
1.180787580E0,6.740417480E-1,3.150497437E0,9.123535156E0
1.192872541E0,7.075500488E-1,3.174438477E0,9.178588867E0
1.204957502E0,7.386779785E-1,3.210342407E0,9.207321167E0
1.217042463E0,7.027587891E-1,3.207946777E0,9.200149536E0
1.229157941E0,6.501007080E-1,3.195983887E0,9.149871826E0
1.241242902E0,6.453094482E-1,3.184005737E0,9.063674927E0
1.253327863E0,6.501007080E-1,3.160064697E0,9.058883667E0
1.265412824E0,6.644592285E-1,3.162460327E0,9.092407227E0
1.277497785E0,6.812133789E-1,3.148101807E0,9.099594116E0
1.289582746E0,7.602233887E-1,3.131332397E0,8.946350098E0
1.301698225E0,8.033294678E-1,3.164855957E0,8.987060547E0
1.313783186E0,6.764373779E-1,3.169647217E0,9.329437256E0
1.325868147E0,5.686950684E-1,3.131332397E0,9.475479126E0
1.337953107E0,5.926361084E-1,3.073883057E0,9.216903687E0
1.350038068E0,7.290954590E-1,3.049926758E0,8.903259277E0
1.362123029E0,7.889556885E-1,3.059509277E0,8.793121338E0
1.374207990E0,7.338867188E-1,3.119369507E0,8.891296387E0
1.386323469E0,6.381225586E-1,3.174438477E0,9.049301147E0
1.398408430E0,6.045989990E-1,3.212738037E0,9.190567017E0
1.410493391E0,6.189727783E-1,3.215133667E0,9.353378296E0
1.422578352E0,6.692504883E-1,3.188796997E0,9.497024536E0
1.434663313E0,7.195281982E-1,3.140914917E0,9.492233276E0
1.446748273E0,7.554321289E-1,3.100204468E0,9.281539917E0
1.458833234E0,7.506561279E-1,3.085845947E0,8.989456177E0
1.470948713E0,7.267150879E-1,3.073883057E0,8.857772827E0
1.483033674E0,6.979827881E-1,3.064300537E0,8.989456177E0
1.495118635E0,6.668548584E-1,3.073883057E0,9.197753906E0
1.507203596E0,6.548767090E-1,3.071487427E0,9.300704956E0
1.519288557E0,6.764373779E-1,3.069091797E0,9.286331177E0
1.531373518E0,6.907958984E-1,3.073883057E0,9.231262207E0
1.543458479E0,7.075500488E-1,3.073883057E0,9.171417236E0
1.555543439E0,7.290954590E-1,3.064300537E0,9.152252197E0
1.567658918E0,7.290954590E-1,3.052322388E0,9.130706787E0
1.579743879E0,7.243194580E-1,3.042755127E0,9.109161377E0
1.591828840E0,7.027587891E-1,3.057113647E0,9.176208496E0
1.603913801E0,7.027587891E-1,3.064300537E0,9.305480957E0
1.615998762E0,7.123413086E-1,3.033172607E0,9.281539917E0
1.628083723E0,7.458648682E-1,3.004440308E0,9.116348267E0
1.640168684E0,7.554321289E-1,2.994873047E0,8.967910767E0
1.652284162E0,7.003784180E-1,2.975708008E0,8.943969727E0
1.664369123E0,6.501007080E-1,2.975708008E0,8.991851807E0
1.676454084E0,6.333312988E-1,2.999649048E0,9.075637817E0
1.688539045E0,6.381225586E-1,3.028381348E0,9.207321167E0
1.700624006E0,6.620635986E-1,3.028381348E0,9.317459106E0
1.712708967E0,7.219238281E-1,3.018814087E0,9.386886597E0
1.724793928E0,7.506561279E-1,3.004440308E0,9.372528076E0
1.736909406E0,7.626190186E-1,2.982894897E0,9.310272217E0
1.748994367E0,7.506561279E-1,2.951766968E0,9.238449097E0
1.761079328E0,7.338867188E-1,2.923034668E0,9.185775757E0
1.773164289E0,6.907958984E-1,2.882339478E0,9.164230347E0
1.785249250E0,6.620635986E-1,2.863189697E0,9.140289307E0
1.797334211E0,6.788177490E-1,2.860794067E0,9.159439087E0
1.809419172E0,6.955871582E-1,2.884735107E0,9.202529907E0
1.821534650E0,6.955871582E-1,2.894317627E0,9.243240356E0
1.833619611E0,7.027587891E-1,2.884735107E0,9.257598877E0
1.845704572E0,7.051544189E-1,2.856002808E0,9.226486206E0
1.857789533E0,7.506561279E-1,2.853607178E0,9.204925537E0
1.869874494E0,7.626190186E-1,2.841644287E0,9.192962646E0
1.881959455E0,7.554321289E-1,2.829666138E0,9.171417236E0
1.894074934E0,7.410736084E-1,2.817703247E0,9.166625977E0
1.906159895E0,7.051544189E-1,2.808120728E0,9.185775757E0
1.918244855E0,7.027587891E-1,2.815307617E0,9.240844727E0
1.930329816E0,7.027587891E-1,2.824874878E0,9.295913696E0
1.942414777E0,6.812133789E-1,2.824874878E0,9.317459106E0
1.954499738E0,6.501007080E-1,2.803329468E0,9.305480957E0
1.966584699E0,6.692504883E-1,2.808120728E0,9.259994507E0
1.978700178E0,6.907958984E-1,2.788970947E0,9.228866577E0
1.990785139E0,6.979827881E-1,2.750656128E0,9.257598877E0
2.002870100E0,7.147369385E-1,2.755447388E0,9.307876587E0
2.014955061E0,8.200836182E-1,2.743469238E0,9.173812866E0
2.027040022E0,8.823242188E-1,2.750656128E0,9.054092407E0
2.039124982E0,7.769927979E-1,2.721923828E0,9.216903687E0
2.051209943E0,6.357269287E-1,2.635742188E0,9.427597046E0
2.063325422E0,6.069946289E-1,2.563903809E0,9.453933716E0
2.075410383E0,6.620635986E-1,2.566299438E0,9.243240356E0
2.087495344E0,7.482604980E-1,2.614181519E0,9.022964478E0
2.099580305E0,7.841644287E-1,2.686019897E0,9.070861816E0
2.111665266E0,7.362823486E-1,2.738693237E0,9.305480957E0
2.123750227E0,6.764373779E-1,2.724319458E0,9.485046387E0
2.135835188E0,6.381225586E-1,2.676437378E0,9.513778687E0
2.147950666E0,6.740417480E-1,2.640518188E0,9.453933716E0
2.160035627E0,7.290954590E-1,2.597427368E0,9.384490967E0
2.172120588E0,7.889556885E-1,2.561523438E0,9.305480957E0
2.184205549E0,7.937469482E-1,2.523208618E0,9.197753906E0
2.196290510E0,7.722015381E-1,2.492080688E0,9.152252197E0
2.208375471E0,7.314910889E-1,2.475326538E0,9.195358276E0
2.220460432E0,7.171325684E-1,2.489685059E0,9.343795776E0
2.232575910E0,7.171325684E-1,2.504058838E0,9.480270386E0
2.244660871E0,7.410736084E-1,2.520812988E0,9.401260376E0
2.256745832E0,7.530517578E-1,2.527999878E0,9.434768677E0
2.268830793E0,7.554321289E-1,2.525604248E0,9.372528076E0
2.280915754E0,7.602233887E-1,2.501663208E0,9.288726807E0
2.293000715E0,7.554321289E-1,2.496871948E0,9.243240356E0
2.305085676E0,7.554321289E-1,2.499267578E0,9.255203247E0
2.317201154E0,7.434692383E-1,2.489685059E0,9.408432007E0
2.329286115E0,7.506561279E-1,2.446594238E0,9.508987427E0
2.341371076E0,7.698059082E-1,2.417861938E0,9.410827637E0
2.353456037E0,7.913513184E-1,2.393920898E0,9.267181396E0
2.365540998E0,8.009338379E-1,2.408294678E0,9.243240356E0
2.377625959E0,7.698059082E-1,2.367584229E0,9.224090576E0
2.389710920E0,7.362823486E-1,2.377166748E0,9.228866577E0
2.401826398E0,6.836090088E-1,2.377166748E0,9.252822876E0
2.413911359E0,6.979827881E-1,2.389129639E0,9.377319336E0
2.425996320E0,7.410736084E-1,2.408294678E0,9.511383057E0
2.438081281E0,7.841644287E-1,2.389129639E0,9.602371216E0
2.450166242E0,8.033294678E-1,2.358016968E0,9.566452026E0
2.462251203E0,7.961425781E-1,2.334060669E0,9.463500977E0
2.474336164E0,7.674102783E-1,2.300552368E0,9.358154297E0
2.486451643E0,7.267150879E-1,2.281402588E0,9.312667847E0
2.498536604E0,7.003784180E-1,2.247879028E0,9.341400146E0
2.510621564E0,7.027587891E-1,2.243087769E0,9.394073486E0
2.522706525E0,7.267150879E-1,2.267028809E0,9.437164307E0
