"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.264552380E-1,-1.280355453E-2,1.148976386E-2,-6.719493866E-2
1.364955220E-1,-4.096376896E-2,1.713792980E-2,-3.019428253E-2
1.465663220E-1,-1.751172543E-2,3.078873456E-2,-6.429958344E-2
1.566066060E-1,4.675388336E-3,6.204591691E-2,-1.460638046E-1
1.666774060E-1,4.036068916E-3,6.890338659E-2,-1.911211014E-1
1.767482070E-1,2.851355076E-2,1.974627376E-2,-1.584110260E-1
1.868190080E-1,4.005908966E-2,-6.716772914E-3,-6.969738007E-2
1.968592910E-1,5.563700199E-2,2.127593756E-2,-1.140594482E-2
2.069300920E-1,5.727386475E-2,1.057463884E-2,1.202774048E-2
2.170008930E-1,5.574083328E-2,3.037422895E-2,-5.323410034E-2
2.270716940E-1,6.690120697E-2,6.068797410E-2,-1.223821640E-1
2.371424940E-1,4.105448723E-2,7.893131673E-2,-1.120615005E-1
2.472132950E-1,4.593372345E-3,3.923617303E-2,-7.355690002E-3
2.572840960E-1,-1.692020893E-2,1.301431656E-2,1.158733368E-1
2.673548970E-1,-9.725093842E-3,1.350060105E-3,1.228151321E-1
2.774256970E-1,-9.469270706E-3,-9.881764650E-3,8.957862854E-3
2.874964980E-1,8.898377419E-3,-2.775903046E-2,-2.137660980E-2
2.975672990E-1,3.124845028E-2,-1.457232237E-2,7.431030273E-3
3.076381000E-1,3.046071529E-2,7.303431630E-3,2.302169800E-3
3.177089010E-1,1.609349251E-2,1.691834629E-2,-4.471397400E-2
3.277797010E-1,1.334154606E-2,1.024308801E-2,-7.828807831E-2
3.378505020E-1,1.078927517E-2,1.318538189E-2,-6.420326233E-2
3.479213030E-1,1.757025719E-3,2.114057541E-3,-4.362678528E-2
3.579921040E-1,-1.170825958E-2,-1.568560302E-2,-7.374763489E-3
3.680629040E-1,-1.700282097E-3,-3.349438310E-2,3.490924835E-2
3.781337050E-1,8.010387421E-3,-5.335244536E-2,6.434345245E-2
3.882045060E-1,-3.828048706E-3,-3.339399397E-2,7.183456421E-2
3.982753070E-1,1.299452782E-2,-9.613901377E-3,4.653644562E-2
4.083461080E-1,1.323819160E-2,-1.002761722E-2,4.064273834E-2
4.184169080E-1,2.037239075E-2,3.678053617E-3,6.070423126E-2
4.285182270E-1,2.476203442E-2,4.998837411E-2,8.507537842E-2
4.385890280E-1,1.955866814E-2,5.530071259E-2,4.062175751E-2
4.486598280E-1,2.451407909E-2,3.711143136E-2,-4.747772217E-2
4.587306290E-1,2.009892464E-2,5.276210606E-2,-6.049728394E-2
4.688014300E-1,1.311111450E-2,3.783938289E-2,-2.715110779E-3
4.788722310E-1,1.097047329E-2,1.612994075E-2,4.427528381E-2
